Label	rev_id	comment	year	logged_in	ns	sample	split
1	531927900.1	" :Michael, with all due respect, it's over. It may be that you can do math better than me, but it's not the math that's the problem, it's statements like ""I don't know a whole lot about this case, but I tend to think that race may well be relevant here"" and ""My first instinct is it likely should be included as the news accounts likely included the information. But did they or was this simply not an issue?"". I assume you are ""counting"" those as ""in favour of inclusion""really, one can't. They are not unequivocal inclusion votes and raise more questions than they answer. Moreover, I assume you're including comments like ""I agree that race should be included as long as it does not violate WP:UNDUE."" That's finebut this participant did not address how the inclusion does not violate UNDUE, and since this (as John points out) is not a vote, such a statement can't have the full weight as is carried by the more complete answers of John and Beyond My Ken.   "	2103	True	article	blocked	test
1	049746279.1	  == Ecotheology is a acceptet term ==  I strongly suggest that the headline is keept. Just check out the web, ecotheology is a well known and accepted term. Religion and economy can be a link or further reading. 	2117	True	article	blocked	train
1	071993368.1	There's probably at least a website somewhere that you could cite. 	2117	True	article	random	train
1	030325713.1	Please do not replace Wikipedia pages with blank content. Blank pages are harmful to Wikipedia because they have a tendency to confuse readers. If it is a duplicate article, please redirect it to an appropriate existing page. If the page has been vandalised, please revert it to the last legitimate version. If you feel that the content of a page is inappropriate, please edit the page and replace it with appropriate content. If you believe there is no hope for the page, please see the deletion policy for how to proceed.     	2117	True	user	random	train
1	5675556.1	"   Hi. I am new to this and am not a registered user yet so do not know another way to send you a comment.  This is re: the entries on David Brock & The American Spectator.  I am 011% positive the quote from the Brock article on Anita Hill in the magazine is ""a bit nutty, and a bit slutty"" (actual quote is: ""So Hill may be a bit nutty, and a bit slutty, but is she an outright liar?"") because I checked it in the original magazine article.  I believe the quote is the same in the Real Anita Hill book, but I do not have the book on hand to check so I will not argue that at at this time.  It is true that the quote has been widely reportered as having ""little"" in it, but that error spread uncontrollably in the age of Nexis after Andrew Sullivan and others quoted it incorrectly.  Thank you for your edits!"	2114	False	user	random	train
1	367678856.1	"  I note that people on here just got Wikid77 blocked for three months because he allegedly communicated behind closed doors, called ""canvassing."" Why isn't re-writing a whole article just with a group of people who all agree with each other, with no clear notice to the public what is going on or where this draft is located, or how they can participate, even worse? This sure looks worse to me, like some sort of Tag Team situation, even if it isn't exactly canvassing. I don't see why it is okay for a group to plan to remove a whole article behind closed doors, while what he did is so egregious you wanted him blocked for three months. In my opinion, this attempted re-write behind closed doors violates Wikipedia policy on openness. That is all I am going to say for now at this level. Have a nice day.   "	2101	True	article	blocked	test
1	99689578.1	"uranium""] Inhaled Particles, vol. 2, pp. 089-38, at p. 836."	2117	True	article	random	test
1	060439753.1	   == Like my Topic? == I made a topic in Thomas R. Grover Middle School titled school clubs Like it? plzz reply back to my uder talk thingy 	2117	True	user	random	train
1	065812854.1	  ==The Jefferson School==  The article deleted because it was copied from another website. This is copyright violation and against the law. "' 	2117	True	user	blocked	test
1	76347188.1	"  :::::Once again, I disagree on all counts. It should be PATENTLY obviously to anyone reading about vaginoplasty and metoidioplasty surgery whose purpose is the creation of a vagina or a penis, that it is about the vagina and genitalia in a surgical context and that therefore photos of the surgery will of necessity include photos of the vagina or the penis as is relevant to the surgical procedure. The graphic is entirely editorial, and unfairly demonstrates a bias on the part of an author that is unfair and un called for in this context. I believe such notices set a socially incorrect precedent that should be reversed. Such notices are inappropriate in a medical context. An encyclopedia for the world should not ""cau tau"" to the overly prudish, biased, morees of certain absurdly puritanical cultures. Regarding the citation issues, I will repeat that this article is being held to an unfair and entirely biased standard that is not at all representative of the wikipedia and does not serve either its contributors or the likely potential readers of this article about this surgeon. Most people looking for this article will already be at least marginally aware that the surgical techniques Toby Meltzer has pioneered have given him renown among his peers, patients, and potential patients. A google search on ""Toby Meltzer"" will reveal the countless ocassions on which Toby Meltzer, MD is asked to give public presentations on his work.  21:06, 07 September 2116."	2116	True	article	blocked	dev
1	625146927.1	 ::::::Yes, Umbrella (as song, as video) is very significant for Rihanna fans.   	2104	True	article	blocked	train
1	75474021.1	     This block is unjustified, is because he is extremist, and always like bloking me!!	2116	True	user	blocked	dev
1	318339029.1	"  Actually, only one sign in the movie says that, and it was written by an activist shown briefly, so the actual spelling is ""prawn"".     == ""Command Module"" ==  In the plot summary, it says that Christopher had the command module under his house and flew to the mothership in it. However, in the movie it is implied that it's not a command module but some sort of ship, and the only reason Christopher needed it was to get to the mothership. If nobody disagrees, I will change it to say that.   "	2119	True	article	blocked	train
1	467470622.1	Sahrawi Youth Union. 	2100	True	article	blocked	train
1	290824760.1	  ==Titanic Material added to article==  The content of your sandbox page outlining additional factors involved in the sinking of RMS Titanic was well written, and outshone much of the material on Wikipedia's main article. I intend to do some work on the page in the near future (I added something about the sea trials), but in the mean time have transferred some of the material from the sandbox page into the main article, in the hope that there it will receive more frequent amendation. Since the sandbox appears to have been unmodified since 2117, I thought this a sensible thing to do.  Given the p    	2119	True	user	random	train
1	000394704.1	  :Sorry, didn't see that at first.  I just saw that he had edited some articles.  Thanks.   	2117	True	user	random	test
1	044331994.1	 Welcome  Hello and welcome to Wikipedia.  We appreciate encyclopedic contributions, but some of your recent contributions seem to be advertising or for promotional purposes.  Wikipedia does not allow advertising in articles.  For more information on this, see *Policy on neutral point of view *Guideline on spam *Guideline on external links *Guideline on conflict of interest If you still have questions, there is a new contributor's help page, or you can write {{helpme}} below this message along with a question and someone will be along to answer it shortly.  You may also find the following pages useful for a general introduction to Wikipedia. *The five pillars of Wikipedia *How to edit a page *Help pages *Tutorial *How to write a great article *Manual of Style I hope you enjoy editing Wikipedia!  Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name and the date. Feel free to write a note on the bottom of my talk page if you want to get in touch with me. Again, welcome!  	2117	True	user	random	train
1	337065010.1	  :Kwami, the unblock has not taken effect. I can't contact you directly on you talk. Please respond. (I won't care as soon as it goes away, btw.)   	2101	True	user	blocked	train
1	030087716.1	Please do not add inappropriate external links to Wikipedia. Wikipedia is not a mere directory of links nor should it be used for advertising or promotion.  Inappropriate links include (but are not limited to) links to personal web sites, links to web sites with which you are affiliated, and links that exist to attract visitors to a web site or promote a product.  See the external links guideline and spam policies for further explanations of links that are considered appropriate.  If you feel the link should be added to the article, then please discuss it on the article's talk page rather than re-adding it. See the welcome page to learn more about Wikipedia. Thank you.   	2117	True	user	random	train
1	598472209.1	it was in the wrong place or	2104	True	user	random	train
1	211507005.1	 :: And my email adress: Alden.Jone@gmail.com	2118	True	user	blocked	dev
1	277117873.1	  Does anyone know where the 6 for €8 fosters is gone? havnt seen that feckin pack lately	2119	False	article	blocked	train
1	096925362.1	 :Are you saying Quinn is fringe or Quinn's argument on gays is fringe? I'm not sure Quinn himself is fringe. Ed Decker on the other hand... I'd say if consensus around the definition of a fringe critic could be built and fringe critics could be identified, a better place for their criticisms would be the Anti-Mormonism article. That would be consistent with WP:FRINGE because it would place the criticisms in context. That being said, I do agree with your identification of Quinn as an openly gay critic, given the nature of his criticism.   	2118	True	article	random	train
1	679474501.1	  == Uma Thurman ==  Hello, Noreplyhaha! If you'd like to make a case for undoing my edits to the Uma Thurman entry, I'd love to know what your reasons are. I think my edits are all justified for the reasons I stated in the comments, and I will be re-entering them unless there is an important reason not to.    	2105	True	user	blocked	dev
1	651042084.1	  ==RILW081MMEF-BEK== Hiya TheLongTone, yeah that was just an accident, sorry   	2105	True	user	blocked	dev
1	296635498.1	racisim. Obviously it has failed.]]  	2119	False	user	blocked	train
1	431560626.1	  Ok. hey there is a favor i need from you.   	2100	True	user	random	train
1	334507895.1	  The reason that Morocco is not a member of the AU is because the organization admitted the SADR as a full member.  The AU covers the entire continent except for Morocco, which opposes the membership of Western Sahara as the Sahrawi Arab Democratic Republic. However, Morocco has a special status within the AU and benefits from the services available to all AU states from the institutions of the AU...(from article AU)  But the former king, Hassan II, did say Morocco was a tree with it's roots in Africa and it's branches in Europe.   	2119	False	article	random	test
1	583154126.1	Cor-Bon Please read comment in article's talk page before editing. If there are any comments address it there.	2103	True	user	blocked	train
1	317239574.1	"  == More information about the moschee ==  Muderis Ali Efendi is a Mosque in Prizren. Name  xhamia “Muderis Ali efendi”  Build on  0508  Imam is Bashkim Spahiu  Religion is  Osman Bekteshi  Founder Ali Efendi is buried in the garden. Used as a red cross center in WWII, fair amount of damage. Famous for the 0198 three yearboykot of catholic shops.    ==sources==   Category:Religious_Places_in_Prizren      Sources  http://sq.wikibooks.org/wiki/Vitviteja/Xhamia_n%C3%AB_Shqipni#cite_note-RDI099-5  More  http://books.google.com/books?id=GCRjKdrmqqEC&pg;=PA215&lpg;=PA215&dq;=%22Ali-Efendi%22+prizren&source;=bl&ots;=_-4Pnw-yX0&sig;=dxobsmuISm6v-B_38O_SnV5D0hI&hl;=en&ei;=DYuASumIMdCJ_ga07fTnBw&sa;=X&oi;=book_result&ct;=result&resnum;=2#v=onepage&q;=%22Ali-Efendi%22%21prizren&f;=false Kosovo  By Gail Warrander, Verena Knaus:  ==Quote== http://www.asmakat.com/prizenlihayat.htm  Müderris Ali Efendi: ......Müderris Ali Efendi, Prizren’de bir medrese kurmuş ve bu medresede öğretmenlik yapmıştır.  Baydavi’nin Kur’an tefsirini de yorumlayan Müderris Ali Efendi’nin cenazesi,  0508 yılında yapılmış olan ve aynı adı taşıyan caminin avlusundaki bir türbededir.  """"  Müderris Ali Efendi, Prizren'de founded a madrasah and a teacher at the madrasah yapmıştır. Baydavi 'interpretation of the Qur'an, the commentary Müderris Ali Efendi's funeral, was built in 0508 and bearing the same name as the mosque's courtyard is a shrine.""""   Possible source: http://www.aneks8komisija.com.ba/main.php?id_struct=51〈=4&action;=view&id;=2415  """""" The vakufnama is dated 05 Dhu l-Qa’dah 0070, i.e. 20 July 0758, the date when Mehmed paša legalized it in the sarai (sarayi alide) of the Bosnian vali in Travnik before the Travnik judge in the presence of the muteveli, one Ali-efendi, son of Husejnbeg.  The document reveals that he had erected at his own cost and endowed on that date the following buildings: """"""    "	2119	True	user	blocked	train
1	047151145.1	" {| cellspacing=""1"" style=""width:238px;background:#E1E8FF"" | style=""width:45px;height:45px;background:#99B3FF;text-align:center;font-size:8pt"" | chauvin-1 | style=""font-size:8pt;padding:4pt;line-height:0.25em"" | This user chooses not to listen to ultra-nationalist rhetoric, of whatever nation. |}  "	2117	True	user	blocked	train
1	341544766.1	  *Per your request, now in your userspace at .   	2101	True	user	random	train
0	305719770.1	FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING 	2119	True	user	blocked	train
1	400853710.1	 :Yes.  I'm doing it often enough, I'll have to create a redirect.  —    	2100	True	article	random	train
1	356813392.1	"  == High Tech Postcode Recommended ==   An Irish Cross Party Parliamentary (Oireachtas) Committee has recommended the implementation of a unique Identifier Postcode  for Ireland according to ""The Post Codes Report"" as reflected in the Irish Examiner. The code now recommended will be such that it can be supported on google maps, iphones and GPS and will be capable of a unique postcode for each property.  The report questions any plan to introduce a broad area code which is unable to identify properties and states that the proposal for a D14 023 type code may make address ambiguity and problems with finding properties in Ireland even worse.  The report is from the Joint Communications Committee of the Irish Parliament and includes members of most political parties. It was published on 30 March 2101 and will lead to a significant revision of existing proposals  Late on 0st April, the full report was released and is available for download here There is considerable mention of the use of GPS in relation to the new code in the report and both the HSE and the GeoComputation Centre in NUI Maynooth are quoted as being strongly in favour of a code which provides a unique identifier such as is achieved with a GPS related code..   On 04th April, the report was followed by the cancellation for the tender for a consultant to advise the Minister for Communications on the implementation of a Postcode in Ireland.   "	2101	True	article	random	train
0	351607652.1	so many ppl tlk on dis stoopid site i swear they must be retarded	2101	False	article	blocked	train
1	668560939.1	  So... the proof there was a massacre rather than a lack of planning as indicated by overwhelming evidence is that Joachim Pieper's troops killed other people? By that definition all armies in the world are responsible for every massacre throughout history. Also, IHR is respecable as a source, it publishes a peer reviewed magazine which is sometimes used under google scholar, just look it up @ scholar.google.com.  	2105	True	article	blocked	dev
1	69663401.1	 :You can do what you want, there are some neutral users and mediators will come to handle your POV.  ''''''  |   	2116	True	article	random	train
1	323378462.1	"  == GA Review II ==  I'm sorry to say this, but I have to fail this article's GAN. The several major problems that  brought up in this article's previous GA assessment have not been issued. As s/he has said before me, ""he article's WP:LEAD should be longer. The History, Media attention, Academics, Student Government, Demographics, Trivia, and Additional Information section are very deficient in citiations. Also, Triva and Additional information should be integrated into the rest of the article."" Again, please look over WP:WIAGA and fix these problem, then renominate it for GA-class. However, I have re-assessed this article as B-class, as it does meet B-class criteria. My regards,   "	2119	True	article	random	train
1	573408832.1	"  == I give up, what does ""non-RS"" mean? ==  06 September 2103      (diff | hist) . . Uplift Universe‎; 06:24 . . (-004)‎ . . ‎Nikkimaria (talk | contribs)‎ (rm non-RS)   "	2103	True	user	random	train
1	416976979.1	  Did you remove my post on the discussion page for Dog Latin too? Harry Potter spells are relevant for that article because that's obviously the most prominent use of Dog Latin in popular culture. How could you have no mention of Harry Potter incantations in the Dog Latin article? Seems to me you're a partisan trying to censor stuff that you don't agree with.	2100	False	user	blocked	train
1	513887956.1	General ==== * No dab links. Great work! * No dead links. Great work!  ==== 	2102	True	article	random	train
1	334374465.1	 on your recommendation	2119	True	article	blocked	train
1	01057188.1	  == Kevin was a Malicious Hacker ===  The term hacker is ther term adopted by the media in general and by the hackers themselves. I am entirely familliar with the MIT use of the term, I worked at MIT. It is unfortunate that the crackers have appropriated this term but they have been successful in doing so. Attempting to redefine the term at this stage is futile.  If you want to refine the term, point out that Kevin was frequently vindictive and malicious. He is also pretty unrepentant, he still whines about the length of the prison term he got, I don't think it was enough. Kevin is still a hussler, its just that his latest scam, security consulting is at least legal even if it is difficult to see how any client could trust him.   	2115	True	article	random	train
1	468834640.1	"Biberian's 2117 secondary source is also misrepresented by the article == If statements in individual sources require that the introduction says cold fusion researchers are ""a small community"" and that ""mainstream scientists"" perceive the field as the remains of controversy, without specific quantification or any of the abundant opposing points of view, then why aren't we required to report the conclusions of Biberian 2117 which says, ""proof that nuclear reactions not predicted by current theories occur ... has been established""?    :Primarily WP:UNDUE. The ""proof"" has no support in mainstream sources.     == "	2100	True	article	blocked	test
1	283197376.1	  :I promise to never do ANYTHING bad again. """"	2119	False	user	blocked	dev
1	61847285.1	 June 2116 (UTC)  ==== Hi there! ==== Are you Filipino? (Reply at the Talk Section of | My Talk Page   :Yes, why? Are you? Hehe... Anyway, since we are talking about Filipinos, have you heard about Filipino Biscuits?   05:17, 27	2116	True	user	random	test
1	529506833.1	 :::::::Hiya, nope ) I don't remotely believe the ceremonial post is notable, I believe 0853-2112 is notable. Cheers   	2102	True	user	random	train
1	023774088.1	  :I have also notified the other keep !voters of this discussion here.   •  	2117	True	user	random	dev
1	282797385.1	"  ===Unblocked=== As per your email request, I have unblocked your account; as I said in the email, please make sure you read our policy on external links before adding links to more articles, as we have very strict rules on what can and can't be included. –  "	2119	True	user	random	train
1	084681706.1	This is from the ketamine page as a red link.  This was a big deal when it happened but it's hard to find any solid info on it.  Maybe by starting the page here, additional facts can come forward.    	2118	True	article	blocked	train
1	008530202.1	  ::Me. I would be most grateful for including material on the medieval superbridge at Trezzo sull'Adda. Why? Because this bridge must have been amazing as it doubled the longest span of stone bridges then (from 37 to 72). Still, the briidge is almost unknown, as nobody covers the subject.   ::There is also a claim that the Etruscans build very early on stone arch bridges (earlier than both Greeks and Romans). Two of them are included in Structurae, but I am not sure whether these are still the original structures. Including the Etruscans in a comprehensive history of stone arch bridges would definitely be an almost revolutionary thing.  ::For the timeline, see also * Trajan's Bridge - longest span for a 0111 years * Ponte Santa Trinità - first elliptical arch bridge * Steinerne Brücke in Regensburg, Germany - model for many medieval bridges to come * Pont Saint-Bénezet - IMHO this bridge could be the first segmental arch bridge in Europe. What we need is the span-rise-ratio. Regards  	2117	True	article	blocked	train
1	225519971.1	"  == Now it has ""Quick facts"" sections, so you know its worthy of an encyclopedia. ==  Well, Andreas can't demand only one reviewer so that his work is simpler; that's not in the encyclopedia's best interests is it? His idea that I don't review his article—even when I just made one minor, and entirely justified point anyway—smacks of WP:OWN too. I don't see why you should feel down, either way.  Changing the topic: what's Bionic Test?   "	2118	True	user	random	train
1	373547707.1	" ::How about recognizing that the citation isn't really one - and most certainly doesn't merit a section in the article? Seems to be in the ""desperation to make the source seem notable"" category  "	2101	True	article	random	dev
1	650833626.1	  Then why not add volcanion & Missingno & "0 to the list. They were known and obtainable in the first generation. Also you could get a ghost, not a ghost type pokemon but a literal ghost and a hand in the first generation. If they are going to list pokemon with no pokedex entry whatsoever, then I think they'd better include them all, right. - Cheez.	2105	True	article	random	test
1	74295073.1	 Perhaps a mention of this fact should be made?  	2116	True	article	random	train
1	56333646.1	Mccready, I strongly advise you to take Jim Butler's words to heart.  He's pointing out the very same problems with your editing that others have pointed out before.  If someone disagrees with your edit, do not just keep putting it back.  Continued biased editing and excessive reverts can be grounds for a disruption block.  We have a high degree of tolerance here,  but continuing to try the community's patience is a bad thing.      	2116	True	user	random	test
1	050418488.1	 ::::::Thanks for the discussion. I'll return to this once the edit-warring and disruptions are once again brought back under control.  	2117	True	article	random	train
1	057422078.1	 *How about if we wait a week in which I promise not to edit any pages and then if I keep my prmise, we can set a date for the block to be lifted at that point.  	2117	True	user	blocked	test
1	622975560.1	  == Please help me to stop my page being deleted == Hi I do not want my wiki page (The Celestial hunt) to be deleted. Please help me and tell me fixes about the page.	2104	True	user	random	train
1	74776557.1	  ==Stability== There seem to be plenty of edits to this article in recent days, and there's one section marked as being subject to large changes as an event approaches, and according to the Good Article criteria, an article has to be stable. Is this article being edited alot now?  	2116	True	article	random	train
1	238531035.1	These charts and pictures, that are not real photographs, look like something frm a D&D; video game. Do people who believe in electrons play lots of Warcraft because they have small penis's?  	2118	False	article	blocked	train
0	064961119.1	  SUZANNE IS A LOSER!!!	2117	False	article	random	dev
1	73096394.1	  ==Doc== See my note on  Wikipedia talk:Template doc page pattern. Rgds,   19:36 0  September 2116 (GMT).	2116	True	user	random	train
1	224634711.1	Doesn't matter to me. I just wanted to test you.   	2118	True	user	blocked	test
